Egzersiz_Adi,Kategori,Ekipman,Aciklama
Bag training,Cardio,none (bodyweight exercise),"Kum torbası antrenmanı, omuz kaslarının (deltoidler), arka deltoidlerin, trisepslerin ve bisepslerin kas kütlesini artırmanın yanı sıra harika bir kardiyo egzersizidir."
Standing Soleus Stretch,Legs,none (bodyweight exercise),Bu esneme hareketi baldırınızdaki soleus kasını hedef alır. Duvara veya sandalyeye yaslanarak yapılabilir.
Exercise Band Dorsiflexion,Legs,none (bodyweight exercise),Bu egzersiz bir egzersiz bandı kullanılarak yapılır. Soleus ve Tibialis anterior kaslarını hedef alır.
Seated Cable Row,Back,Vücut Ağırlığı,"1. Ayaklarınız yere basacak şekilde, omuz genişliğinden biraz daha açık bir şekilde makineye oturun. Topuklarınızı yere doğru itin ve kalça kaslarınızı sıkın. Kablo kolunu kavrayın.

2. Dizleriniz hafifçe bükülmüş şekilde dik oturun. Gövdenizin yere dik açı oluşturması için karın ve bel kaslarınızı sıkın.

3. Omuzlarınızı geriye ve aşağıya doğru yuvarlayın. Kürek çekerken, aralarına bir kalem sıkıştırıyormuş gibi omuzlarınızı sıkıştırın. Bunu yaparken, kolu kendinize doğru çekin ve göbek deliğinizin hemen üstüne getirin.

4. Kolu geri çekmeden önce burada bir an duraklayın, kürek kemiklerinizi sıkmaya devam edin. Ağırlığı yerine geri koyduktan sonra, gövdenizi öne çekmeden kürek kemiklerinizin gevşemesine izin verin.

5. Hareketi tekrarlayın."
Exercise Band Plantarflexion,Legs,none (bodyweight exercise),"Bantlı plantar fleksiyon, plantar fleksiyon hareket açıklığı ile ağırlık taşıma sırasında yapılan daha zorlu baldır kaldırma hareketleri arasındaki boşluğu doldurmanın harika bir yoludur. Bu, baldır kaslarını güçlendirmeye, Aşil tendonuna yük bindirmeye ve plantar fleksiyon hareket açıklığını iyileştirmeye yardımcı olabilir."
Double Leg Calf Raise,Legs,none (bodyweight exercise),"Çift bacak topuk kaldırma hareketi, ayak bileği ve diz çevresinde güçlendirme, kontrol ve denge sağlamak, ayrıca kalça ve pelvis için denge ve kontrol oluşturmak açısından önemlidir."
Yoga exercise: Cow-cat,Back,Gym mat,"Öncelikle dört ayak üzerinde durma pozisyonuna geçin. Eller omuzların altında olmalı. Parmaklar genişçe açılmış olmalı ve dengeli bir duruş sağlamalıdır. Vücut ağırlığınızın ön kısmını başparmaklarınız ve işaret parmaklarınız üzerinde tutmanız en iyisidir. Şimdi bacaklarınızı kalça genişliğinde açarak yoga matının üzerine yerleştirin. Uyluklarınız kalçalarınızın dikey olarak altında olmalıdır. Ağırlığınızın elleriniz ve dizleriniz arasında eşit olarak dağıldığından emin olun. Başınız omurganızın bir uzantısı olmalı ve matınıza bakmalısınız. Sırtınız nötr bir pozisyonda olmalıdır. Derin bir nefes alın ve kedi pozisyonuyla başlayın. Bir sonraki nefes verişinizde, sırtınızı omur omur yuvarlayın. Kendinizi mümkün olduğunca tavana doğru çekmeye çalışın. Başınızı göğsünüze doğru çekin ve pelvisinizi eğin. Şimdi derin bir nefes alın ve karşı pozisyona, inek pozisyonuna geçin. Sırtınızı aşağı doğru bükün, omuzlarınızı hafifçe geriye çekin ve başınızı sizin için rahat olduğu kadar yukarı kaldırın. Bakışlarınız yukarıya doğru olmalıdır. Bilinçli bir şekilde nefes verin ve tekrar kedi pozisyonuna geçin. Bir sonraki nefes verişinizde tekrar inek pozisyonuna geçin. Egzersizi birkaç kez tekrarlayın ve akışa girdiğinizden emin olun."
Front Lever,Abs,none (bodyweight exercise),"Ön kol kaldırma hareketi, vücudun yere paralel yatay bir pozisyonda tutulduğu bir figürdür."
Shoulder width three-point push-up,Arms,none (bodyweight exercise),"Omuzlarınız ellerinizin tam üzerinde ve ayaklarınız kalça genişliğinde açık olacak şekilde şınav pozisyonuna geçin. Göbek deliğinizi omurganıza doğru çekin ve karın kaslarınızı sıkın. Sol ayağınızı yerden yaklaşık beş santimetre kaldırın. Ayak parmaklarınızı düz aşağı doğru uzatın. Kalçalarınızı hareket ettirmeyin. Egzersiz boyunca vücudunuz başınızdan topuklarınıza kadar düz bir çizgi oluşturmalıdır. Şimdi dirseklerinizi bükün, göğsünüzü yere indirin ve kendinizi tekrar yukarı itin. Egzersizi diğer tarafta tekrarlayın."
TRX roll out,Abs,none (bodyweight exercise),"Ellerinizle tutacakları kavrayın, kollarınızı uzatın ve göğüs hizasında paralel tutun. Yapmanız gereken hareket, kollarınızı omuzlarınızla aynı hizaya getirerek açmak ve vücudunuzu öne doğru eğmektir. Omuzlarınızı 90 dereceden fazla açmamaya çalışın ve karın ve kalça kaslarınızı aktif tutun. Çalıştırılan kaslar: Transvers abdominis, rektus abdominis ve erector spinae."
Ice Scream maker,Abs,none (bodyweight exercise),"Barfiks hareketinin son aşamasında, omuzlarımızla kendimizi geriye doğru iterek ön kol pozisyonuna ulaşırız. Oradan da kendimizi tekrar başlangıç ​​pozisyonuna çekeriz."
Leg Extension,Legs,Vücut Ağırlığı,"Bu, uyluğunuzun ön tarafında bulunan dört özel kas olan rektus femoris, vastus lateralis, vastus medialis ve vastus intermedius'tan oluşan kuadriseps kaslarına odaklanan izole bir egzersizdir."
Front lever pull-up,Abs,Pull-up bar,"Ön kol pozisyonunda, bacaklar uzatılmış halde veya daha kolay olması için toplanmış halde, göğsü bara yaklaştırarak çekin."
Front lever tuck,Back,Pull-up bar,"Ön kol kaldırma hareketinde en çok strese maruz kalan kaslar, başlıca ekstansör kaslardır; bunlar arasında latissimus dorsi, teres major, posterior deltoid ve biseps kasının uzun başı bulunur."
TRX Obliques,Abs,Vücut Ağırlığı,"1. Ayaklarınızı üzengilere yerleştirin ve elleriniz omuzlarınızın hemen altında olacak şekilde yüksek plank pozisyonu alın.

2. Dizlerinizi sağ dirseğinize doğru çekin, sonra tekrar dışarı ve merkeze doğru itin."
TRX hammer curl,Arms,Vücut Ağırlığı,"Tutma yerlerini, kayışların bir uzantısıymış gibi yerleştirin. Kollarımızı öne doğru uzatıp, vücudumuzu tamamen düz bir şekilde geriye yaslayacağız. Dirseklerimizi bükerek vücudumuzu kayışlara doğru yaklaştırdığımızda, pazı kaslarımız aktifleşecektir. Kullandığımız tutuş şekli nedeniyle, kasılma hareketi ellerin hafifçe dışa doğru hareket etmesiyle sona erecektir."
Cable External Rotation,Shoulders,Vücut Ağırlığı,"Adımlar:

1. Öncelikle bir uzatma bandını bir direğin etrafına veya gevşemeyecek ve dirsek seviyesinde olacak şekilde güvenli bir yere yerleştirin.

2. Bandın yanına geçin ve bandın karşısındaki elinizle uzanıp tutamağı kavrayın.

3. Dirseğinizi 90 derecelik bir açıyla bükerek bandı göğsünüze getirin, ardından bandın dışa doğru dönmesi için kolunuzu yavaşça geriye doğru döndürün.
4. Omuzlarınızda bir gerilme hissedene kadar mümkün olduğunca uzatın, bir süre bekleyin ve ardından başlangıç ​​pozisyonuna geri dönün.

5. İstediğiniz kadar tekrar ve set yapın."
TRX gorilla biceps curl,Arms,Vücut Ağırlığı,"TRX kayışlarına doğru dönüp, birbirine dönük yumruklarımızla öne doğru, kollarımız omuz genişliğinde açık ve tamamen uzatılmış şekilde kayışları kavrayacağız. Önceki egzersizlerde olduğu gibi, vücudumuzu düz ve geriye doğru tutacağız, çünkü pazı kaslarımızı aktive ederek vücudumuzu TRX kayışlarına doğru kaldıracağız. Vücudumuz düz, ayaklarımız yere düz basacak. Bu sefer kollarımızı yanlara doğru ve göğüs hizasında açacağız. Yapacağımız hareket, göğsümüze doğru bir kasılma olacak. Bunu başarmak için dirseklerimizi bükerek, pazı kaslarımızı aktive edip vücudumuzu kayışlara doğru çekeceğiz."
Trx Single Arm Bicep Curl,Arms,Vücut Ağırlığı,"Adım 1: Rahat bir şekilde ayakta durun ve askı sisteminin kollarını kavrayın. Adım 2: Omurganızı düz tutarak, ağırlığınızı bir kolunuza vererek geriye yaslanın. Adım 3: Vücut ağırlığınızı yukarı doğru çekmek için yavaşça kıvrılın. Son pozisyona yaklaşırken kolunuzu avuç içlerinize doğru çevirin ve kaslarınızı sıkın. Adım 4: Kendinizi tekrar aşağı indirin ve tekrarlayın."
Back bridge,Back,none (bodyweight exercise),"Sırtınız yere yaslanmış, bacaklarınız bükülü ve ayaklarınız yere düz basacak şekilde yere uzanın; ayaklarınız ve kalçalarınız arasında yaklaşık 20 cm boşluk bırakın. Elleriniz yere düz bir şekilde, kulaklarınıza bastırılmış, parmaklarınız ayak parmaklarınıza doğru bakacak şekilde dursun. Dirsekleriniz bükülü ve tavana doğru baksın. Bu başlangıç ​​pozisyonudur. Şimdi kalçalarınızı olabildiğince yukarı iterek vücudunuzu yerden kaldırın ve ellerinizle itmeye devam edin, dirseklerinizi ve dizlerinizi uzatarak sırtınız tamamen kavisli (bel köprüsü) olana kadar devam edin. Başınız da yerden kalkmalı ve dirseklerinizle aynı hizada, geriye doğru bakmalıdır. Bu son pozisyondur. İniş yavaş ve kontrollü olmalıdır. Omurganız dışbükey bir eğri oluşturmalıdır. Sırtınızı yerden kaldırmak iyi değildir; düz kalmalıdır. İyi yuvarlak olmalıdır. Ayrıca sırtınızda artan oksijenlenme hissi de fark edeceksiniz. Yerden kalktıktan sonra, kalçalarınız çok yüksekte, hatta başınızın seviyesinin üzerinde olmalıdır. Kollarınız ve bacaklarınız düz kalmalıdır. Kolay gibi görünse de, iyi bir esneklik seviyesi gerektirir. Nefes derin olmalıdır. Bu duruş göğüs kafesini gerer ve diyaframa baskı uygular. Duruş doğru yapılırsa, nefes alma mükemmel olacaktır. Egzersiz sırasında asla nefesinizi tutmayın."
TRX Tricep Extension,Arms,Vücut Ağırlığı,"TRX veya başka bir askı sistemini başınızın üzerine, tutacakları göğüs hizasında veya biraz daha aşağıda olacak şekilde takın. En iyi kurulumu sağlayan yüksekliği bulmak için denemeler yapın.

Tutacakların önünde durun ve avuç içleriniz aşağıya bakacak şekilde tutun.

Karın kaslarınızı sıkın, kalça kaslarınızı kasın, nefes alın ve topuklarınızı yerden kaldırarak öne doğru eğilin. Dirseklerinizi düz tutun.

Bir nefes daha alın ve dirseklerinizi bükerek kendinizi yavaşça aşağı indirin.
Dirsekleriniz 90 derecelik bir açıya gelene kadar (bilekleriniz dirseklerinizin üzerinde olana kadar) aşağı inin. Pozisyonu bir an tutun.
Triseps kaslarınızı çalıştırarak kollarınızı uzatın ve nefes verirken kendinizi başlangıç ​​pozisyonuna getirin."
TRX dips,Arms,Vücut Ağırlığı,"Ellerinizi askılı antrenman aletine, ayaklarınızı yere koyarak başlayın.
Elleriniz omuzlarınızın altında, ayaklarınız ise biraz önde olmalı.
Kalçalarınızı tutacakların arasına getirerek ve dirseklerinizi bükerek kendinizi aşağı indirin.
Dirseklerinizi uzatarak başlangıç ​​pozisyonuna geri dönün ve tekrarlayın."
Low Pulley Cable Fly,Chest,Vücut Ağırlığı,"Kablo makinesini ayarlayın: Makarayı mümkün olan en düşük ayara getirin.

Tutacakları seçin: Tercihinize bağlı olarak nötr tutuşlu (avuç içleri birbirine dönük) veya düz tutacaklar kullanabilirsiniz. Nötr tutuş bilekleriniz için daha kolay olabilir.

Doğru duruş: Ayaklarınız omuz genişliğinde açık, dizleriniz hafifçe bükülü ve karın kaslarınız sıkı bir şekilde durun. Egzersiz boyunca belinizin alt kısmında hafif bir kavis olmasına dikkat edin.

Tutacakları kavrayın: Seçtiğiniz tutuşla tutacakları kavrayın ve kablolarda hafif bir gerilim oluşana kadar bir iki adım geriye doğru adım atın.

Hareketi başlatın: Egzersiz boyunca dirseklerinizi hafifçe bükülü tutun. Birine kocaman bir sarılma verdiğinizi hayal edin. Ellerinizi göğsünüzün önünde bir araya getirirken göğüs kaslarınızı sıkın.

Hareketi kontrol edin: Kollarınızı tutacakları çekmek için kullanmak yerine göğüs kaslarınızı sıkmaya odaklanın.
En yüksek kasılma: Hareketin en üst noktasında, elleriniz göğüs hizasında birleşmiş haldeyken kasılmayı kısa bir süre tutun.

Yavaşça geri dönün: Gerilimi yavaşça bırakın ve kollarınız hafifçe uzatılmış ancak kilitlenmemiş haldeyken tutacakları başlangıç ​​pozisyonuna geri indirin."
Pullover,Back,Dumbbell,"Hem sırt hem de göğüs egzersizi olarak kullanılabilen Dumbbell Pullover, hem göğüs kaslarınızı hem de sırt kaslarınızı çalıştırabilir."
Sitting Calf Stretch (Dorsiflexion),Legs,Vücut Ağırlığı,"Bu, rehabilitasyon için harika olan, baldır kasları için hafif bir germe hareketidir."
Plantarflexion Stretch with Band,Legs,Vücut Ağırlığı,Bu esneme hareketi ayak bilekleri ve ön kaval kemiği kası (Tibialis anterior) içindir.
Incline Dumbbell Press,Chest,Dumbbell,"Eğimli dambıl pres, dambıl göğüs presi ve omuz presinin bir karışımıdır ve bu egzersizde hem ön deltoid kasları hem de göğüs kaslarının üst kısımları çalışır."
Dumbbell Chest Press,Chest,Vücut Ağırlığı,"Dambıl göğüs presi, halterle yapılan bench press'e benzer bir pres egzersizidir, ancak dambıllarla yapılır."
Biceps Close Grip Pull Down,Arms,Vücut Ağırlığı,"Lat pulldown makinesinde, ellerinizi nispeten birbirine yakın tutarak barı kavrayın. Avuç içi ters bakacak şekilde tutun (yani, elinizin arkası makineye dönük olmalı). Ardından barı düz bir çizgi halinde yere doğru çekin. Hareketin ana itici gücünün pazı kaslarınız olduğundan emin olun. Muhtemelen omuzlarınızın ve sırt kaslarınızın çalıştığını hissedeceksiniz, ancak pazı kaslarınızın daha fazla çalıştığından emin olun."
Isometria trazioni impugnatura inversa,Back,Pull-up bar,İzometrik Ters Tutuşlu Barfiks
Incline Chest-Supported Dumbbell Row,Back,"Bench, Dumbbell","Ayarlanabilir bir sehpayı 45 derecelik bir açıyla kurun.
Yüzüstü yatın, başınız sehpanın kenarının hemen üzerinde sarkacak şekilde.
Her iki elinize birer dambıl alın ve doğru duruşu alın – karın ve sırt kaslarınız aktif, omuzlarınız nötr pozisyonda olsun.
Dambılları karnınızın üst kısmına doğru çekin ve hareketin en üst noktasında sırt kaslarınızı sıkın.

Son olarak, dambılları başlangıç ​​pozisyonuna indirin ve tüm tekrarlar tamamlanana kadar tekrarlayın."
Pseudo Planche Push-up,Shoulders,none (bodyweight exercise),Omuz hizasını bileklerinizin önüne getirmeli ve omuzlarınızı aynı pozisyonda tutarak şınav çekmelisiniz.
Talons fesses,Cardio,none (bodyweight exercise),Hareketsiz dururken veya hareket halindeyken topuklarınızı kalçalarınıza değdirin.
Dynamic Planche,Abs,none (bodyweight exercise),"1. Ellerinizi omuzlarınızın altına, ayaklarınızı kalça genişliğinde açarak plank pozisyonunda başlayın.

2. Vücudunuzu baştan ayağa düz bir çizgide tutmak için karın kaslarınızı sıkın.

3. Bu pozisyondan, dizlerinizi hafifçe bükün ve her iki ayağınızı da içeri doğru, mümkün olduğunca karın bölgenize yaklaştırarak zıplayın.
4. Ayaklarınız yere değdiği anda, tekrar zıplamak ve başlangıçtaki plank pozisyonuna dönmek için güçlü bir şekilde itin.

5. Egzersiz boyunca kontrolü ve karın kası stabilitesini koruyarak bu zıplama hareketini tekrarlamaya devam edin.

6. Zıplarken nefesinizi düzenli tutmaya, derin nefes almaya ve nefesinizi kontrol etmeye özen gösterin.

7. Doğru omurga hizalamasını korumak için bakışlarınızı yere sabitleyin.

8. Zıplamaları istediğiniz süre boyunca veya egzersiz programınız için önerilen tekrar sayısı kadar tekrarlayın.

9. Egzersizi bitirmek için, plank pozisyonunu bırakarak dinlenin, ardından kaslarınızı gevşetmek için gerekirse esneme hareketleri yapın."
Reach ups,Abs,none (bodyweight exercise),"Bu egzersizi yapmak için sırt üstü yatın ve kollarınızı başınızın üzerine uzatın. Ardından, karın kaslarınızı kasarak gövdenizi yerden kaldırın ve kollarınızı tavana doğru uzatarak olabildiğince yükseğe ""uzanmaya"" çalışın. Hareketi kontrol ederek yavaşça başlangıç ​​pozisyonuna dönün. Bu uzanma hareketleri karın kaslarını güçlendirir ve omurga esnekliğini artırır. Karın kaslarının gücünü ve stabilitesini artırmak için çeşitli egzersiz rutinlerine dahil edilebilirler."
Planche de cote dynamique,Abs,none (bodyweight exercise),"Dinamik yan plank pozisyonunda, yan yatıp bir dirseğiniz ve ayağınızın yan tarafı üzerinde destek alarak, vücudunuzu düz bir çizgi halinde tutarken kalçalarınızı yukarı ve aşağı doğru sallarsınız."
Seated Dumbbell Curls,Arms,Dumbbell,"Oturarak yapılan dambıl kıvırma hareketi, üst vücudu stabilize ederek kasları izole eden ve egzersizin etkinliğini azaltabilecek ivmeyi düşüren etkili bir pazı egzersizidir. Bu egzersiz, her iki elde birer dambıl ile oturarak yapılır ve pazı kaslarının maksimum düzeyde çalıştırılması için kontrollü harekete odaklanılır."
Reverse Grip Barbell Curls,Arms,Barbell,"Barbell'i omuz genişliğinde, avuç içleriniz aşağı bakacak şekilde üstten kavrama ile tutun. Sırtınızın düz, omuzlarınızın hafifçe geriye çekilmiş ve kollarınızın tamamen uzatılmış olduğundan emin olun.
Dirseklerinizi vücudunuza yakın tutarak, barbell'i kontrollü bir hareketle göğsünüze doğru yukarı kaldırın. Hareket, sallanma veya ivme kullanımı olmadan pürüzsüz olmalıdır.
Barbell göğüs hizasına geldiğinde, pazı ve ön kol kaslarında maksimum kasılmayı sağlamak için kısa bir süre duraklayın.
Kollarınızı tamamen uzatarak, barbell'i kontrollü bir hareketle yavaşça başlangıç ​​pozisyonuna indirin."
Trazioni impugnatura inversa,Abs,Pull-up bar,Başparmaklar dışa dönük şekilde barfiks çekin.
One armed push-ups,Abs,none (bodyweight exercise),"Tek elle şınav çekin, bir tarafı diğer tarafa çevirerek."
Arco femorale una gamba,Back,none (bodyweight exercise),"Özellikle, söz konusu kaslar şunlardır: biceps femoris, semimembranosus ve semitendinosus."
Barbell Bench Press - NB,Chest,Barbell,"Bench press, göğüs ve triseps kaslarında güç ve kas geliştiren bileşik bir egzersizdir. Birçok insan listelemeyi düşündüğünde, akla ilk gelen egzersiz genellikle bench press olur."
Low-Cable Cross-Over - NB,Chest,Vücut Ağırlığı,"Alçak kablolu çapraz geçiş, göğüs kaslarının üst kısmını hedeflemek için kablo düzeneği kullanan bir izole harekettir. Genellikle üst vücut ve göğüs odaklı kas geliştirme antrenmanlarında, göğsün tüm kısımlarını hedeflemek için diğer açılardan yapılan pres veya fly hareketleriyle birlikte kullanılır."
EZ-Bar Skullcrusher - NB,Arms,SZ-Bar,"EZ-bar skullcrusher, triseps kaslarını hedefleyen popüler bir egzersizdir. Düz bar yerine EZ-bar daha sık kullanılır. İsmine gelince, bu en kötü senaryoyu temsil eder. Bar aslında başın arkasına kadar inmelidir. Genellikle üst vücut veya kol odaklı bir antrenmanın parçası olarak orta ila yüksek tekrarlarla yapılır. Bu harekette 1RM'yi (maksimum tek tekrar ağırlığı) kovalamaya gerek yok!"
High-Cable Cross Tricep Extention - NB,Arms,Vücut Ağırlığı,"Yüksek kablolu çapraz triceps uzatma hareketi, özellikle uzun baş olmak üzere triceps kaslarını hedefleyen izole bir egzersizdir.
Bu hareket, zıt ellerle tutulan kablolar ve tutacaklar kullanılarak yapılır ve triceps gücünü geliştirmek için etkili olabilecek benzersiz bir itme hareketi sağlar. Düz bir bar veya ip kullanan egzersizlerin aksine, bu varyasyon bilekleriniz ve dirsekleriniz için daha rahat olabilir."
Preacher Curl - Internally Rotated,Arms,Dumbbell,"Tek kollu curl hareketi, dambıl ve preacher sehpası veya preacher curl makinesi kullanılarak yapılabilir. Vücudunuzu ağırlığa doğru çevirin."
Lat Pulldown - Cross Body Single Arm,Back,Vücut Ağırlığı,"Lat pulldown makinesine vücudunuz çapraz bir açıyla oturun, böylece sadece bir bacağınız pedin altında olsun. Kabloyu diğer kolunuzla aşağı doğru çekin. Bu, kablonun aşağı doğru çekilirken vücudunuzun üzerinden geçmesini sağlayacaktır. Bu, lat kasının gerilmesini vurgular."
Cable Chest Press - Incline,Chest,Vücut Ağırlığı,"Tek kollu göğüs presi, kablo makinesiyle yapılır. Vücut ağırlığınızı desteklemek için diğer kolunuzu kullanın ve vücut dengesini sağlamak yerine presin gücüne odaklanın. Elinizi göğsünüze mümkün olduğunca yakın tutarak başlayın ve ardından hafif bir eğimle kabloya doğru bastırarak göğsünüzün merkezine doğru hedefleyin."
JM Press,Arms,Barbell,"JM press hareketi, omuzlarınızı sabit tutarak, ağırlığı hareket ettirmek için dirsek bükülmesi ve uzatılmasına ve triseps kaslarınızın gücüne dayanır. Bu da, hassas omuz eklemini aşırı zorlamadan en iyi triseps güçlendirme egzersizlerinin tüm faydalarını elde edeceğiniz anlamına gelir. Klasik bir kazan-kazan durumu!"
Helms Row,Back,Dumbbell,"Hazırlık: Göğsünüzü bir bankın ucuna yerleştirin, göğsünüzü korumak için havlu veya herhangi bir yumuşak şey kullanın. Göğsünüzün, meme ucu hizasında bankla temas halinde olmasını istiyorsunuz. Sırtınız neredeyse yere paralel olmalıdır.
Uygulama: Egzersize başlarken, sırt kaslarınızda maksimum gerginliği hissedene kadar dirseklerinizi geriye doğru çekmeye odaklanın.
Egzersizle birlikte trapez kaslarını da çalıştırmak istiyorsanız, ağırlıklar aşağı sarkarken kürek kemiklerinizi gevşetin ve tekrara başlarken geri çekin."
Meadows Row,Back,Barbell,"Meadows kürek çekme hareketi, landmine pozisyonunda, üstten tutuşla ve kademeli duruşla yapılan tek taraflı bir kürek çekme hareketidir. Gövdenizi öne doğru eğin ve halterin ağırlığını kavrayın. Diğer ön kolunuzu öndeki bacağınızın üzerine koyun. Harekete, kürek kemiğinizi geriye doğru çekerken dirseğinizi arkanıza doğru iterek başlayın. Çalışan omuzunuzu aşağıda tutun. Dirseğiniz gövdenizle aynı hizaya gelene kadar arka kalçanıza doğru çekin."
Cable Triceps Press,Arms,Vücut Ağırlığı,"Tek kolla yapılan bu egzersizde, eller göğse yakın, dirsekler bükülü ve dışa doğru açık şekilde başlanır. Dirsekleri düzleştirerek kabloya karşı öne ve aşağı doğru bastırın."
Cable Tri Extension - Internal Rotation,Arms,Vücut Ağırlığı,"Tek kol egzersizi: Dirsek bükülü halde, kabloyu karşı omuzda tutun. Kabloya doğru dönün ve dirseğinizi vücudunuzun karşısına doğru düzleştirin."
Front Plank,Abs,none (bodyweight exercise),"Plank, vücut ağırlığıyla yapılan bir egzersizdir. Çok fonksiyonlu bir hareket olan plank, sadece karın kaslarınızı değil, aynı zamanda omurganızı ve kalçalarınızı da hedef alır. Plank, tüm vücudunuzu güçlendirir ve sıkılaştırır, duruşunuzu ve dengenizi iyileştirir, vücut yağını azaltır ve metabolizmanızı hızlandırmaya yardımcı olabilir.
“Plank pozisyonu” gibi egzersizler, dengeleyici karın kaslarının dayanıklılığını güçlendirmeye yardımcı olur. Ayrıca, vücudun dengeleyici kaslarının işlevinin zayıflamasıyla ilişkili sırt ağrısını hafifletmeye de yardımcı olabilir.
Plank, vücuttaki en önemli kas gruplarının çoğunu hedef alan çok yönlü bir egzersizdir, bu nedenle dayanıklılığı ve genel vücut gücünü artırmak için herkes tarafından uygulanabilir."
Cable Tri Extension - External Rotation,Arms,Vücut Ağırlığı,"Tek kol egzersizi: Dirsek bükülü halde, kabloyu karşı omuzda tutun. Kablodan uzağa doğru dönün ve dirseği vücudunuzun karşısına doğru düzleştirin."
Curl  - With Shoulder Elevated,Arms,Dumbbell,Dirseğinizi omuz hizasına getirin. Ağırlığı omuzunuza doğru kaldırın. Kaldırma hareketinin başlangıç ​​ve bitiş noktalarındaki gerilmeye odaklanın.
Lying Leg Raise,Abs,none (bodyweight exercise),"Bacak kaldırma, alt karın kasları için en etkili egzersizlerden biridir. Bu egzersiz karın kaslarını (rektus abdominus ve oblik kaslar) hedef alsa da, özellikle alt karın bölgesindeki yağları yakmak ve sıkılaştırmak için faydalıdır."
Jumping Jack HD,Cardio,none (bodyweight exercise),"Zıplama hareketleri, pliometrik bir egzersizdir. Pliometrik hareketler, hızı, çevikliği ve gücü artıran ve tüm vücudu çalıştıran patlayıcı aerobik hareketlerdir.
Zıplama hareketleri, kol, omuz, karın kasları, kalça kasları ve kalça fleksörlerini hedef alır ve ayrıca uyluk, diz tendonları ve kuadriseps kaslarını da çalıştırır.
Zıplamalar, kardiyovasküler kondisyonu güç çalışmasıyla birleştirdiği için sağlığınız için faydalıdır. Zıplamalar kalp atış hızınızı yükselttiği için kardiyovasküler kondisyonunuzu da geliştirebilir."
High Knee Skips HD,Cardio,none (bodyweight exercise),"Bu egzersizi hem antrenmandan önce dinamik bir ısınma olarak kullanabilir hem de yağ yakmak için kardiyo antrenman rutininize ekleyebilirsiniz.
Yüksek diz atlamaları, pliometrik bir egzersizdir. Pliometrik hareketler, hızı, çevikliği ve gücü artıran ve tüm vücudunuzu çalıştıran patlayıcı aerobik hareketlerdir.
Yüksek diz atlamaları, oblik kasları, bacak kasları, kalça kasları ve kalça fleksörlerini hedef alır ve ayrıca uylukları, diz tendonlarını, kuadrisepsleri ve omuzları da çalıştırır.
Zıplamalar, kardiyovasküler kondisyonu kuvvet çalışmasıyla birleştirdiği için sağlığınız için faydalıdır. Zıplamalar kalp atış hızınızı yükselttiği için kardiyovasküler kondisyonunuzu da geliştirebilir."
Crunches HD,Abs,none (bodyweight exercise),"Karın kası egzersizi, vücudun karın kaslarını güçlendirmek için tasarlanmış en temel egzersizlerden biridir. Bu egzersiz, karın kaslarını güçlendirmeye, duruşu iyileştirmeye ve kas hareketliliğini ve esnekliğini artırmaya yardımcı olur.
Karın kaslarını geliştirir: Karın kası egzersizi yapıldığında, rektus abdominis ve oblik kaslar sıkılaşır, böylece üst karın kasları ve karın kasları gelişir.
Karın kaslarının gücünü artırır: Karın kaslarınızın birincil rolü, orta bölgenizi stabilize etmektir. Ağır nesneleri kaldırırken sizi destekler, vücudunuzu bükmenize ve döndürmenize olanak tanır. Bunlar gün boyu fark etmediğiniz hareketlerdir, bu nedenle karın kaslarınızın uzun saatler boyunca çalışmaya dayanabilmesi önemlidir. Karın kası egzersizi, karın kaslarında bu önemli dayanıklılığı oluşturmaya yardımcı olur. Kas dayanıklılığı, bu liflerin uzun süre dirence dayanma yeteneğidir."
Bench Dips On Floor HD,Arms,none (bodyweight exercise),"Yerde yapılan triceps dips, birden fazla kas grubunu aynı anda çalıştırdığı için bileşik bir egzersizdir. Bu vücut ağırlığı egzersizi esas olarak triceps kaslarını hedef alsa da, göğüs ve omuz ön kaslarını da çalıştırır.
Yerde yapılan triceps dips, kol gücünü artırmak ve üst kollarınızda yağsız kas kütlesi oluşturmak için en etkili egzersizlerden biridir.
Yerde yapılan triceps dips, kapalı kinetik zincir egzersizidir ve hareketleri sabit bir nokta etrafında yaptığınızı ifade eder. Eklemleriniz üzerindeki sıkıştırma kuvvetini artırarak stabiliteyi iyileştirir."
Kopfüber Gewichtaufheben,Abs,Kettlebell,"Bu makine bacak kaldırma aletinin yanında.

Başınızı öne eğin, yüzünüzü aşağı çevirin ve ağırlığı kaldırın."
Bodyweight lunge HD,Legs,none (bodyweight exercise),"Vücut ağırlığıyla yapılan lunge hareketleri, alt vücudu güçlendirmek, denge ve istikrarı geliştirmek ve fonksiyonel güç geliştirmek için etkili bir jimnastik egzersizidir.
Vücut ağırlığıyla yapılan egzersizler, ev egzersizleri için popüler bir tercihtir ve daha kapsamlı bir kuvvet antrenmanı rutininin parçası olarak da dahil edilebilir."
Lateral Push Off,Legs,none (bodyweight exercise),Yere temas ederek tek bacağınızın üzerine inin ve dengenizi yeniden sağladıktan sonra diğer bacağınızın üzerine atlayın.
